"","X","id","scenario","decider","acceptance","agreement","importance","age","gender","duration","trust","voter_influence","big5_agreeableness","big5_extraversion","big5_neuroticism","big5_conscientiousness","big5_openness","date_time","last_access","swing_voter","voting_intention","voting_pref","voting_pref_strength","one_party"
"515",515,106,"religious_education","experts",-0.666666686534882,2,1,36,"female",408,0.333333343267441,"don't know",2,1.5,4,2,2.5,"2011-03-17 20:39:31","2011-03-17 20:46:19",1,"CDU","CDU",4,1
"516",516,701,"central_exam","experts",-0.333333343267441,1,1,44,"female",531,0.333333343267441,"almost no influence",3.66666674613953,2.5,2,4.5,3,"2011-03-22 07:20:13","2011-03-22 07:29:04",0,"SPD","SPD",4,1
"517",517,211,"religious_education","experts",-0.666666686534882,1,2,52,"male",465,0.666666686534882,"almost no influence",3.66666674613953,3,2.5,3,2.5,"2011-03-18 12:09:59","2011-03-18 12:17:44",0,"SPD","SPD",4,1
"518",518,640,"central_exam","party general",-0.333333343267441,2,2,39,"female",610,0.333333343267441,"some influence",3.66666674613953,2,2.5,3.5,3.5,"2011-03-21 19:15:00","2011-03-21 19:25:10",1,"Greens","SPD",3,1
"519",519,140,"nuclear_energy","CDU",-3,1,5,49,"male",551,-0.333333343267441,"some influence",2.33333325386047,3.5,3.5,3.5,2,"2011-03-18 08:38:51","2011-03-18 08:48:02",1,"Greens","SPD",3,0
"520",520,384,"religious_education","CDU",-0.333333343267441,1,1,42,"male",598,1,"almost no influence",3.33333325386047,2,3,4,4.5,"2011-03-18 22:10:59","2011-03-18 22:20:57",0,"SPD","SPD",4,1
"521",521,748,"religious_education","CDU",-0.333333343267441,1,2,49,"female",542,0.666666686534882,"almost no influence",3.33333325386047,4,2.5,4.5,4.5,"2011-03-22 13:27:01","2011-03-22 13:36:03",1,"Ecological Party","no favoured party",0,0
"522",522,605,"nuclear_energy","CDU",-1.5,2,4,33,"male",695,0.333333343267441,"some influence",3,2,3,4,2,"2011-03-21 17:38:46","2011-03-21 17:50:21",0,"CDU","CDU",3,1
"523",523,636,"central_exam","SPD",-0.666666686534882,2,2,49,"female",569,0.666666686534882,"almost no influence",3,2.5,3,4,4,"2011-03-21 19:02:23","2011-03-21 19:11:52",1,"SPD","SPD",2,0
"524",524,70,"nuclear_energy","SPD",-1,2,4,55,"female",572,1.33333337306976,"some influence",3.33333325386047,2.5,2.5,4,2.5,"2011-03-17 18:10:56","2011-03-17 18:20:28",0,"SPD","SPD",4,1
"525",525,362,"religious_education","SPD",-1.16666662693024,1,5,58,"male",556,0.333333343267441,"some influence",3.66666674613953,4,3.5,2.5,4,"2011-03-18 19:21:17","2011-03-18 19:30:34",1,"SPD","SPD",3,1
"526",526,547,"nuclear_energy","experts",-2.66666674613953,2,5,22,"male",646,1.33333337306976,"strong influence",3,4,2,3.5,4,"2011-03-21 13:18:24","2011-03-21 13:29:10",0,"Greens","Greens",4,1
"527",527,56,"religious_education","party general",-0.16666667163372,2,1,35,"male",559,0,"almost no influence",3,3,2.5,4.5,4.5,"2011-03-17 17:36:41","2011-03-17 17:46:00",1,"SPD","no favoured party",0,0
"528",528,435,"religious_education","referendum",-1.5,2,4,25,"female",438,0.666666686534882,"strong influence",3,3.5,3.5,3,4,"2011-03-19 11:49:01","2011-03-19 11:56:19",1,"CDU","FDP",3,1
"529",529,579,"religious_education","experts",-2.66666674613953,1,4,34,"female",679,1.66666662693024,"some influence",2.33333325386047,5,1.5,3.5,4.5,"2011-03-21 16:38:42","2011-03-21 16:50:01",0,"SPD","SPD",5,1
"530",530,771,"nuclear_energy","experts",-1.83333337306976,1,5,53,"male",776,0.666666686534882,"some influence",4.33333349227905,5,3,4,4,"2011-03-22 16:11:14","2011-03-22 16:24:10",0,"CDU","CDU",4,1
"531",531,128,"nuclear_energy","CDU",-2.16666674613953,1,5,18,"female",668,1,"strong influence",4,4,3,5,4.5,"2011-03-17 23:41:40","2011-03-17 23:52:49",0,"SPD","SPD",5,0
"532",532,90,"central_exam","CDU",-0.333333343267441,2,2,38,"female",567,1,"almost no influence",3.66666674613953,1.5,3.5,4,2,"2011-03-17 19:32:37","2011-03-17 19:42:04",1,"FDP","FDP",1,0
"533",533,356,"central_exam","SPD",-1.83333337306976,1,5,51,"male",434,2,"strong influence",3.66666674613953,3.5,4,4,3,"2011-03-18 18:47:32","2011-03-18 18:54:46",0,"CDU","CDU",5,1
"534",534,219,"nuclear_energy","SPD",-2.33333325386047,1,5,45,"male",737,1,"some influence",3.66666674613953,3.5,2.5,3.5,3,"2011-03-18 12:32:04","2011-03-18 12:44:22",0,"SPD","SPD",4,1
"535",535,762,"central_exam","experts",-1.16666662693024,1,2,19,"female",587,1,"strong influence",3.33333325386047,3,4,3,4,"2011-03-22 14:51:15","2011-03-22 15:01:02",NA,"Greens","Greens",4,1
"536",536,177,"nuclear_energy","party general",-0.333333343267441,1,4,69,"male",1489,0.666666686534882,"almost no influence",4,3,1,4.5,3.5,"2011-03-18 11:28:54","2011-03-18 11:53:43",0,"SPD","SPD",5,1
"537",537,672,"nuclear_energy","experts",-1.33333337306976,2,5,26,"male",539,0.666666686534882,"some influence",3,3.5,1.5,4.5,4,"2011-03-21 20:57:52","2011-03-21 21:06:51",0,"CDU","CDU",4,1
"538",538,560,"central_exam","referendum",-0.333333343267441,1,2,21,"female",401,1,"strong influence",3,3,3,3,4,"2011-03-21 14:20:11","2011-03-21 14:26:52",1,"Greens","no favoured party",0,0
"539",539,529,"religious_education","party general",-2.33333325386047,1,5,37,"male",401,0,"strong influence",3,4,2,5,3,"2011-03-21 09:53:11","2011-03-21 09:59:57",0,"REP","DVU/REP/NPD",4,1
"540",540,350,"central_exam","SPD",-2.33333325386047,1,5,48,"male",1353,1.66666662693024,"strong influence",3.66666674613953,3.5,3,4.5,5,"2011-03-18 18:14:30","2011-03-18 18:37:03",1,"CDU","CDU",4,0
"541",541,626,"central_exam","CDU",-0.333333343267441,1,5,40,"female",615,1,"strong influence",3,3.5,3,4.5,5,"2011-03-21 18:28:02","2011-03-21 18:38:17",0,"SPD","SPD",5,1
"542",542,297,"central_exam","party general",-0.333333343267441,1,1,35,"male",227,0.666666686534882,"no response",2.66666674613953,3,3,3,3,"2011-03-18 15:44:20","2011-03-18 15:48:07",0,"NPD","DVU/REP/NPD",3,1
"543",543,440,"nuclear_energy","CDU",-1.83333337306976,1,3,34,"female",488,0.666666686534882,"some influence",3,2,4,3,4,"2011-03-19 13:16:41","2011-03-19 13:24:49",1,"Pirate Party","other",3,1
"544",544,92,"nuclear_energy","party general",-0.5,1,2,23,"female",1113,0.666666686534882,"almost no influence",4.33333349227905,4,4,2.5,4.5,"2011-03-17 19:35:01","2011-03-17 19:53:34",NA,"CDU","CDU",1,1
"545",545,458,"religious_education","referendum",-3,1,5,20,"male",569,0.333333343267441,"some influence",3.33333325386047,2,2,2.5,2,"2011-03-19 17:15:00","2011-03-19 17:24:29",0,"Pirate Party","other",5,1
"546",546,799,"nuclear_energy","SPD",-2.83333325386047,1,5,45,"female",468,0.333333343267441,"some influence",3.33333325386047,3.5,4,5,4,"2011-03-22 18:21:48","2011-03-22 18:29:36",0,"SPD","SPD",5,1
"547",547,433,"central_exam","party general",-1.66666662693024,1,5,18,"female",738,0.666666686534882,"almost no influence",3.66666674613953,2.5,4,3.5,3.5,"2011-03-19 11:44:57","2011-03-19 11:57:15",0,"Greens","Greens",4,1
"548",548,250,"religious_education","SPD",0.5,2,2,66,"male",768,0.333333343267441,"some influence",2,2.5,1.5,2,4.5,"2011-03-18 13:30:54","2011-03-18 13:43:42",1,"SPD","SPD",4,1
"549",549,362,"central_exam","SPD",-1.33333337306976,1,4,58,"male",556,0.333333343267441,"some influence",3.66666674613953,4,3.5,2.5,4,"2011-03-18 19:21:17","2011-03-18 19:30:34",1,"SPD","SPD",3,1
"550",550,338,"religious_education","CDU",-2.83333325386047,1,4,52,"female",949,0.666666686534882,"strong influence",2.33333325386047,5,1,5,5,"2011-03-18 17:40:15","2011-03-18 17:56:04",1,"CDU","CDU",4,1
"551",551,841,"central_exam","experts",-1.33333337306976,2,3,40,"female",415,1,"don't know",4,1.5,3.5,3,3,"2011-03-23 08:52:11","2011-03-23 08:59:06",0,"Greens","SPD",3,1
"552",552,392,"religious_education","party general",-1,1,2,55,"female",1078,1,"strong influence",3,3.5,3.5,3.5,3,"2011-03-18 23:29:30","2011-03-18 23:47:29",0,"SPD","SPD",5,1
"553",553,817,"religious_education","CDU",-0.666666686534882,2,2,42,"female",966,1,"some influence",3.66666674613953,1.5,4,3.5,4.5,"2011-03-22 20:30:48","2011-03-22 20:46:54",1,"Greens","Greens",4,1
"554",554,377,"central_exam","CDU",-0.5,2,1,42,"male",584,0,"some influence",4,3.5,1.5,5,5,"2011-03-18 20:37:58","2011-03-18 20:47:42",1,"SPD","SPD",2,1
"555",555,102,"religious_education","experts",-1.66666662693024,1,1,19,"female",617,0.666666686534882,"some influence",4,3,3,4,3,"2011-03-17 20:18:54","2011-03-17 20:29:11",0,"Free Voters","FDP",3,1
"556",556,662,"nuclear_energy","CDU",-1.5,2,5,25,"male",491,1,"some influence",4,3,2,5,3,"2011-03-21 20:21:14","2011-03-21 20:29:25",0,"CDU","CDU",4,1
"557",557,555,"nuclear_energy","SPD",-1,2,2,68,"male",833,1,"some influence",3,3.5,4.5,4,4.5,"2011-03-21 13:58:54","2011-03-21 14:12:47",0,"SPD","SPD",3,1
"558",558,336,"nuclear_energy","CDU",-2.16666674613953,1,4,66,"female",1043,1,"almost no influence",2.66666674613953,4,2.5,3.5,3.5,"2011-03-18 17:37:58","2011-03-18 17:55:21",0,"CDU","CDU",4,1
"559",559,811,"religious_education","referendum",-1.5,1,1,59,"female",494,0.333333343267441,"some influence",3.33333325386047,2,3,4,2,"2011-03-22 19:38:29","2011-03-22 19:46:43",0,"SPD","SPD",4,1
"560",560,414,"central_exam","referendum",-0.833333313465118,2,3,43,"male",645,0,"almost no influence",2.66666674613953,1.5,3.5,2.5,3.5,"2011-03-19 09:09:49","2011-03-19 09:20:34",1,"CDU","CDU",3,1
"561",561,632,"central_exam","party general",0,2,1,48,"female",553,0.333333343267441,"some influence",2.33333325386047,3,3.5,2,5,"2011-03-21 18:45:30","2011-03-21 18:54:43",1,"Greens","SPD",3,1
"562",562,125,"central_exam","referendum",0,2,1,43,"female",741,0.333333343267441,"no response",3.33333325386047,2,3,4,3,"2011-03-17 22:45:36","2011-03-17 22:57:57",NA,"I would not vote","Left Party",1,0
"563",563,857,"religious_education","party general",-0.16666667163372,2,1,43,"female",399,1,"some influence",3.66666674613953,4,2,4,2.5,"2011-03-23 10:15:27","2011-03-23 10:22:06",1,"CDU","no favoured party",0,0
"564",564,339,"nuclear_energy","experts",-3,1,5,52,"female",712,1,"some influence",3.33333325386047,3.5,2.5,4,4,"2011-03-18 17:40:16","2011-03-18 17:52:08",1,"Greens","Greens",3,1
"565",565,167,"religious_education","CDU",-1,2,3,30,"female",305,0.666666686534882,"almost no influence",3,3,3,3,3,"2011-03-18 11:06:28","2011-03-18 11:11:33",1,"REP","DVU/REP/NPD",4,0
"566",566,328,"nuclear_energy","CDU",-1.83333337306976,1,5,19,"female",522,1,"strong influence",3,3.5,3,3.5,3,"2011-03-18 17:06:24","2011-03-18 17:15:06",1,"Greens","other",3,0
"567",567,217,"religious_education","experts",-3,1,5,52,"male",433,-0.666666686534882,"almost no influence",1.33333337306976,2.5,3,4,2,"2011-03-18 12:23:44","2011-03-18 12:30:58",NA,"I would not vote","other",1,0
"568",568,325,"nuclear_energy","experts",-1.83333337306976,1,5,50,"male",683,0.666666686534882,"strong influence",3,4,2,5,3,"2011-03-18 16:54:48","2011-03-18 17:06:11",1,"Greens","SPD",3,1
"569",569,220,"nuclear_energy","referendum",-2,1,4,62,"female",634,0,"almost no influence",2.66666674613953,3.5,2.5,3.5,4,"2011-03-18 12:32:49","2011-03-18 12:43:23",0,"SPD","SPD",4,1
"570",570,443,"religious_education","referendum",-1,1,3,53,"male",677,1.66666662693024,"strong influence",4,4.5,1.5,5,3.5,"2011-03-19 13:40:57","2011-03-19 13:52:15",0,"CDU","CDU",4,1
"571",571,324,"nuclear_energy","referendum",-1.66666662693024,1,5,60,"female",943,0,"strong influence",4.33333349227905,2.5,3,4,3,"2011-03-18 16:53:14","2011-03-18 17:08:57",0,"SPD","SPD",5,1
"572",572,96,"nuclear_energy","party general",-3,1,5,44,"male",872,1,"some influence",3.66666674613953,4.5,1.5,5,3.5,"2011-03-17 19:44:16","2011-03-17 19:58:48",1,"SPD","SPD",4,1
"573",573,375,"religious_education","CDU",-0.333333343267441,2,1,69,"male",1054,0,"some influence",3,3.5,2,5,4.5,"2011-03-18 20:34:23","2011-03-18 20:51:57",0,"SPD","SPD",4,1
"574",574,322,"nuclear_energy","party general",-1.5,1,5,55,"female",935,1.33333337306976,"strong influence",2.66666674613953,3,3,5,3,"2011-03-18 16:47:29","2011-03-18 17:03:04",1,"SPD","SPD",3,0
"575",575,431,"religious_education","referendum",-0.5,2,4,47,"male",434,0.666666686534882,"some influence",3.66666674613953,2.5,5,4,2.5,"2011-03-19 11:28:45","2011-03-19 11:35:59",0,"CDU","CDU",4,1
"576",576,513,"central_exam","party general",-0.5,2,2,38,"male",446,0.333333343267441,"some influence",2.33333325386047,5,1.5,3.5,1.5,"2011-03-20 20:11:53","2011-03-20 20:19:20",1,"Pirate Party","SPD",5,1
"577",577,595,"nuclear_energy","SPD",-2.66666674613953,1,5,43,"male",708,1,"some influence",3,2,3,3.5,4,"2011-03-21 17:16:25","2011-03-21 17:28:13",1,"SPD","Greens",3,1
"578",578,361,"central_exam","experts",-0.16666667163372,1,1,41,"female",357,0.333333343267441,"some influence",3.33333325386047,4,4,3,4,"2011-03-18 19:17:26","2011-03-18 19:23:23",NA,"I would not vote","other",1,0
"579",579,196,"religious_education","party general",-1.33333337306976,2,2,59,"male",378,1,"some influence",3,4,3.5,3.5,3.5,"2011-03-18 11:42:03","2011-03-18 11:48:21",0,"SPD","SPD",4,1
"580",580,857,"nuclear_energy","party general",-2.33333325386047,1,4,43,"female",399,1,"some influence",3.66666674613953,4,2,4,2.5,"2011-03-23 10:15:27","2011-03-23 10:22:06",1,"CDU","no favoured party",0,0
"581",581,221,"religious_education","experts",-2.5,1,4,30,"male",513,0.666666686534882,"some influence",2,2.5,2.5,4,2,"2011-03-18 12:33:10","2011-03-18 12:41:43",1,"CDU","CDU",3,1
"582",582,318,"nuclear_energy","party general",-0.5,2,4,56,"female",506,0.333333343267441,"some influence",4,1.5,2.5,3.5,3.5,"2011-03-18 16:37:52","2011-03-18 16:46:18",1,"CDU","CDU",3,1
"583",583,322,"central_exam","party general",-1.5,1,5,55,"female",935,1.33333337306976,"strong influence",2.66666674613953,3,3,5,3,"2011-03-18 16:47:29","2011-03-18 17:03:04",1,"SPD","SPD",3,0
"584",584,239,"religious_education","referendum",-1,2,3,56,"male",787,0,"almost no influence",2.66666674613953,3,1,4,3.5,"2011-03-18 13:08:59","2011-03-18 13:22:06",1,"SPD","CDU",3,1
"585",585,83,"religious_education","experts",-0.666666686534882,1,2,65,"male",761,1,"strong influence",4,4,1,5,5,"2011-03-17 19:11:11","2011-03-17 19:23:52",0,"CDU","CDU",5,1
"586",586,616,"religious_education","CDU",-0.666666686534882,2,2,40,"male",705,1,"some influence",3.66666674613953,1.5,2,2.5,1.5,"2011-03-21 18:05:04","2011-03-21 18:16:49",0,"Free Voters","CDU",3,1
"587",587,252,"nuclear_energy","experts",-0.833333313465118,1,5,59,"male",1932,0.666666686534882,"strong influence",2,2.5,4,2.5,3,"2011-03-18 13:35:30","2011-03-18 14:07:42",1,"SPD","SPD",4,1
"588",588,336,"religious_education","CDU",-1,2,1,66,"female",1043,1,"almost no influence",2.66666674613953,4,2.5,3.5,3.5,"2011-03-18 17:37:58","2011-03-18 17:55:21",0,"CDU","CDU",4,1
"589",589,272,"central_exam","CDU",0,2,1,53,"female",957,0,"some influence",3.66666674613953,3.5,2,5,1.5,"2011-03-18 14:26:52","2011-03-18 14:42:49",1,"CDU","CDU",3,0
"590",590,600,"nuclear_energy","experts",-3,1,5,35,"female",1446,-0.666666686534882,"almost no influence",2.33333325386047,2,3.5,3,5,"2011-03-21 17:28:04","2011-03-21 17:52:10",0,"Greens","Greens",3,1
"591",591,580,"religious_education","referendum",-2,2,5,35,"female",402,0.333333343267441,"some influence",4,2,4,4,4.5,"2011-03-21 16:39:54","2011-03-21 16:46:37",0,"FDP","FDP",3,1
"592",592,522,"central_exam","CDU",-0.16666667163372,2,2,47,"female",404,1,"some influence",2.66666674613953,3.5,3,3,3.5,"2011-03-21 06:23:06","2011-03-21 06:29:50",1,"Greens","SPD",3,1
"593",593,330,"nuclear_energy","party general",-1.16666662693024,2,4,51,"female",1649,0.333333343267441,"almost no influence",3,4,2.5,4.5,3,"2011-03-18 17:15:58","2011-03-18 17:43:27",1,"SPD","SPD",3,1
"594",594,583,"central_exam","SPD",-0.16666667163372,2,3,33,"female",484,1.33333337306976,"some influence",4,4,3,4.5,5,"2011-03-21 16:44:20","2011-03-21 16:52:24",1,"I would not vote","Greens",3,1
"595",595,112,"nuclear_energy","experts",-0.5,2,4,55,"male",449,1,"some influence",3.33333325386047,2.5,2,3,3,"2011-03-17 21:15:32","2011-03-17 21:23:01",0,"CDU","CDU",4,1
"596",596,465,"religious_education","CDU",-2.16666674613953,1,4,41,"female",430,0.666666686534882,"almost no influence",3,5,1,5,3.5,"2011-03-19 20:08:17","2011-03-19 20:15:27",1,"Free Voters","SPD",2,0
"597",597,108,"nuclear_energy","experts",-3,1,5,28,"male",704,0.666666686534882,"strong influence",3,3.5,2,4,4,"2011-03-17 20:48:40","2011-03-17 21:00:24",1,"Pirate Party","SPD",3,1
"598",598,305,"religious_education","referendum",-1.5,1,5,51,"male",682,0.666666686534882,"strong influence",3.33333325386047,3,3,5,4,"2011-03-18 16:07:33","2011-03-18 16:18:55",1,"Greens","Greens",3,0
"599",599,700,"religious_education","referendum",-0.333333343267441,1,4,46,"female",773,0.333333343267441,"some influence",3.33333325386047,4,3.5,3.5,2.5,"2011-03-22 07:14:07","2011-03-22 07:27:00",0,"CDU","CDU",3,1
"600",600,217,"central_exam","experts",-1,2,1,52,"male",433,-0.666666686534882,"almost no influence",1.33333337306976,2.5,3,4,2,"2011-03-18 12:23:44","2011-03-18 12:30:58",NA,"I would not vote","other",1,0
"601",601,545,"nuclear_energy","party general",-1.5,1,3,29,"male",551,0,"strong influence",3.33333325386047,2,2.5,3,3.5,"2011-03-21 13:08:50","2011-03-21 13:18:01",1,"SPD","SPD",3,1
"602",602,637,"central_exam","experts",-0.333333343267441,2,1,26,"male",451,1,"almost no influence",3.66666674613953,3.5,3.5,3.5,4,"2011-03-21 19:04:38","2011-03-21 19:12:09",1,"CDU","CDU",2,0
"603",603,171,"central_exam","party general",-0.5,2,3,52,"male",504,0.333333343267441,"strong influence",3.33333325386047,2.5,3.5,3,4,"2011-03-18 11:21:14","2011-03-18 11:29:38",0,"Greens","Greens",4,1
"604",604,285,"central_exam","party general",-1.66666662693024,1,2,23,"female",407,0,"almost no influence",3.66666674613953,3,3,3,3,"2011-03-18 15:13:49","2011-03-18 15:20:36",1,"SPD","SPD",3,1
"605",605,309,"religious_education","party general",-0.333333343267441,2,2,28,"male",373,1,"some influence",3.33333325386047,3,2.5,4,3.5,"2011-03-18 16:13:58","2011-03-18 16:20:12",1,"SPD","SPD",3,1
"606",606,490,"central_exam","SPD",0.16666667163372,2,1,42,"male",444,1,"strong influence",3.66666674613953,3,3,3,3,"2011-03-20 12:45:30","2011-03-20 12:52:54",0,"CDU","CDU",5,1
"607",607,335,"religious_education","CDU",-1.66666662693024,1,4,55,"female",981,0.333333343267441,"almost no influence",3.33333325386047,4.5,3,4,4.5,"2011-03-18 17:35:48","2011-03-18 17:52:09",0,"SPD","SPD",4,1
"608",608,133,"religious_education","SPD",-1,2,5,64,"male",622,0.333333343267441,"strong influence",2.33333325386047,2,3.5,2.5,3,"2011-03-18 05:02:38","2011-03-18 05:13:00",0,"FDP","FDP",5,1
"609",609,82,"nuclear_energy","party general",-1.66666662693024,1,4,49,"female",577,0.666666686534882,"strong influence",3,4,2.5,3,4,"2011-03-17 19:07:51","2011-03-17 19:17:28",1,"CDU","CDU",4,1
"610",610,461,"nuclear_energy","experts",-1,2,3,28,"female",276,1,"don't know",3,3,3,3,3,"2011-03-19 18:54:46","2011-03-19 18:59:22",NA,"I would not vote","no favoured party",1,0
"611",611,596,"nuclear_energy","experts",-0.333333343267441,2,3,39,"female",1595,0.333333343267441,"almost no influence",2.66666674613953,3.5,2.5,5,2.5,"2011-03-21 17:17:40","2011-03-21 17:44:15",1,"Pirate Party","Left Party",3,0
"612",612,303,"religious_education","experts",-2.33333325386047,1,5,53,"female",608,0.666666686534882,"some influence",3.66666674613953,3,4,4,4.5,"2011-03-18 15:52:54","2011-03-18 16:03:02",1,"Free Voters","CDU",3,1
"613",613,701,"religious_education","experts",-0.333333343267441,1,1,44,"female",531,0.333333343267441,"almost no influence",3.66666674613953,2.5,2,4.5,3,"2011-03-22 07:20:13","2011-03-22 07:29:04",0,"SPD","SPD",4,1
"614",614,450,"nuclear_energy","experts",-0.666666686534882,1,4,46,"female",975,1,"some influence",4,3,2.5,4,3,"2011-03-19 15:15:05","2011-03-19 15:31:20",1,"Free Voters","SPD",3,1
"615",615,175,"religious_education","SPD",-1,2,3,68,"male",1015,1,"some influence",3.33333325386047,3.5,3,4,3,"2011-03-18 11:26:27","2011-03-18 11:43:22",0,"SPD","SPD",5,1
"616",616,210,"central_exam","SPD",0,1,1,56,"male",815,1,"almost no influence",4,4,2.5,3.5,3.5,"2011-03-18 12:09:21","2011-03-18 12:22:56",1,"SPD","SPD",2,1
"617",617,765,"nuclear_energy","experts",0.333333343267441,1,5,49,"female",749,1.33333337306976,"some influence",3.33333325386047,4.5,2.5,3,4.5,"2011-03-22 15:35:02","2011-03-22 15:47:31",1,"Pirate Party","Greens",3,1
"618",618,768,"religious_education","experts",-1,2,1,52,"female",760,0,"almost no influence",3.66666674613953,3.5,2,3,3.5,"2011-03-22 16:00:12","2011-03-22 16:12:52",1,"CDU","CDU",3,1
"619",619,677,"nuclear_energy","SPD",-2.33333325386047,1,5,44,"male",599,0,"almost no influence",3,5,3,4.5,4.5,"2011-03-21 21:24:53","2011-03-21 21:34:52",0,"SPD","SPD",4,1
"620",620,481,"nuclear_energy","party general",-1.83333337306976,1,3,30,"male",521,1,"almost no influence",3,2.5,1.5,4,3,"2011-03-20 10:29:05","2011-03-20 10:37:47",1,"SPD","CDU",3,1
"621",621,794,"central_exam","referendum",0.16666667163372,1,2,67,"male",1250,0.666666686534882,"some influence",3.33333325386047,3,2.5,4,3.5,"2011-03-22 17:46:44","2011-03-22 18:07:34",0,"SPD","SPD",4,0
"622",622,623,"central_exam","referendum",0.333333343267441,2,1,37,"male",423,0.333333343267441,"strong influence",3.66666674613953,5,1.5,5,4,"2011-03-21 18:19:34","2011-03-21 18:26:37",1,"REP","DVU/REP/NPD",3,0
"623",623,633,"religious_education","SPD",-2.66666674613953,1,4,61,"male",743,0,"some influence",3.33333325386047,3,4.5,4.5,1,"2011-03-21 18:45:58","2011-03-21 18:58:21",0,"SPD","SPD",4,1
"624",624,785,"nuclear_energy","referendum",-1,1,4,18,"male",566,0,"almost no influence",3.33333325386047,3.5,1.5,3,4,"2011-03-22 17:08:44","2011-03-22 17:18:10",1,"Pirate Party","other",3,1
"625",625,344,"religious_education","party general",-0.333333343267441,2,2,19,"female",1181,1,"don't know",3.33333325386047,3,4,4.5,3,"2011-03-18 17:48:44","2011-03-18 18:08:25",0,"Greens","Greens",5,1
"626",626,331,"nuclear_energy","experts",-2.5,1,5,44,"male",794,1.66666662693024,"strong influence",3.66666674613953,2,1,4,2.5,"2011-03-18 17:25:34","2011-03-18 17:38:48",0,"Greens","no favoured party",4,1
"627",627,119,"central_exam","CDU",-0.666666686534882,2,2,32,"male",697,0.333333343267441,"some influence",2.33333325386047,2,3,4.5,4.5,"2011-03-17 21:59:36","2011-03-17 22:11:13",1,"CDU","CDU",4,1
"628",628,575,"nuclear_energy","party general",-2.33333325386047,1,5,31,"female",1914,0.333333343267441,"strong influence",4,3.5,1.5,4.5,3.5,"2011-03-21 16:09:27","2011-03-21 16:41:21",1,"SPD","SPD",3,1
"629",629,475,"religious_education","SPD",-0.5,1,3,62,"male",720,0,"some influence",3.33333325386047,4,2,3,3.5,"2011-03-20 09:26:36","2011-03-20 09:38:36",0,"CDU","CDU",4,1
"630",630,373,"nuclear_energy","CDU",-3,1,5,45,"male",466,1,"almost no influence",3.33333325386047,4,3.5,4,3,"2011-03-18 20:27:49","2011-03-18 20:35:35",0,"SPD","SPD",4,1
"631",631,614,"nuclear_energy","party general",-2,1,4,46,"male",509,0.333333343267441,"some influence",3.66666674613953,3,2.5,4,4,"2011-03-21 17:52:44","2011-03-21 18:01:13",0,"Left Party","Left Party",4,1
"632",632,200,"religious_education","SPD",-0.833333313465118,2,3,63,"male",693,0,"almost no influence",3.33333325386047,2.5,2.5,4,3,"2011-03-18 11:46:50","2011-03-18 11:58:23",0,"Left Party","Left Party",4,1
"633",633,400,"religious_education","experts",-2.33333325386047,2,5,41,"female",457,1,"strong influence",4,5,3.5,3.5,3.5,"2011-03-19 06:38:57","2011-03-19 06:46:34",1,"CDU","CDU",4,1
"634",634,632,"nuclear_energy","party general",-3,1,5,48,"female",553,0.333333343267441,"some influence",2.33333325386047,3,3.5,2,5,"2011-03-21 18:45:30","2011-03-21 18:54:43",1,"Greens","SPD",3,1
"635",635,150,"nuclear_energy","referendum",-1,2,3,46,"male",228,1.33333337306976,"some influence",2.66666674613953,2.5,2.5,3,2.5,"2011-03-18 09:25:58","2011-03-18 09:29:46",1,"Greens","Greens",3,0
"636",636,503,"religious_education","CDU",-1.33333337306976,2,2,31,"male",541,0.333333343267441,"some influence",2.66666674613953,1,3.5,3,4,"2011-03-20 17:56:00","2011-03-20 18:05:01",0,"SPD","SPD",4,1
"637",637,576,"central_exam","referendum",0,1,1,31,"female",1239,0.666666686534882,"almost no influence",3,4,2.5,2.5,4,"2011-03-21 16:26:09","2011-03-21 16:46:48",0,"SPD","SPD",4,1
"638",638,138,"central_exam","experts",0.333333343267441,2,2,37,"female",491,1.33333337306976,"some influence",4.33333349227905,4.5,3.5,3.5,3.5,"2011-03-18 08:02:52","2011-03-18 08:11:03",1,"FDP","FDP",3,1
"639",639,146,"central_exam","SPD",-2.33333325386047,1,4,52,"male",1115,1.33333337306976,"almost no influence",3.33333325386047,4,2.5,2.5,4,"2011-03-18 08:54:40","2011-03-18 09:13:15",0,"Greens","Greens",4,1
"640",640,147,"nuclear_energy","party general",-1.83333337306976,1,4,26,"female",561,1,"some influence",3.66666674613953,2,2,3.5,3,"2011-03-18 09:04:15","2011-03-18 09:13:36",1,"Greens","Greens",4,1
"641",641,79,"religious_education","SPD",-1.5,1,3,47,"female",1851,1,"some influence",3.66666674613953,3.5,3,3.5,3.5,"2011-03-17 19:00:50","2011-03-17 19:31:41",1,"SPD","SPD",3,1
"642",642,61,"religious_education","experts",-2.33333325386047,1,5,29,"female",256,0.333333343267441,"some influence",3,3,3,3,3,"2011-03-17 17:42:46","2011-03-17 17:47:02",1,"Left Party","FDP",1,0
"643",643,526,"religious_education","SPD",-0.333333343267441,2,1,41,"female",395,0.333333343267441,"almost no influence",4,2.5,4.5,2,2,"2011-03-21 09:32:53","2011-03-21 09:39:28",1,"I would not vote","no favoured party",0,0
"644",644,809,"religious_education","party general",-0.666666686534882,2,4,48,"female",773,2,"almost no influence",4.33333349227905,5,2.5,5,4,"2011-03-22 19:27:37","2011-03-22 19:40:31",1,"CDU","FDP",3,1
