No,area,dealer,modelyear,grade,run,displ,AT,audio,navi,color,damage,precord,price
407,kobe,1,2002,GX,34911,1600,1,0,0,silver,0,0,122
408,kobe,1,2004,S,21857,1400,1,0,0,silver,1,0,103
409,osaka,1,2008,S,60488,1600,1,1,1,white,1,0,141
410,kobe,0,2008,T,54936,1600,1,0,0,red,1,0,136
411,osaka,0,2001,S,14014,1600,1,1,0,brack,1,0,118
412,kobe,1,2001,G,52043,1400,1,1,0,brack,2,0,90
413,kobe,1,2006,T,49806,1800,1,1,0,blue,1,0,121
414,osaka,0,2003,G,63717,1800,1,1,0,brack,1,0,117
415,kyoto,1,2003,GX,38198,1600,1,1,0,blue,1,0,108
416,kobe,0,2002,GX,34027,1800,1,1,0,silver,0,0,141
417,kobe,0,2007,T,52112,1800,1,1,0,brack,1,0,138
418,osaka,0,2002,G,3756,1400,1,1,0,white,1,0,103
419,kobe,1,2003,T,49998,1800,1,1,1,brack,4,0,126
420,kobe,0,2008,T,29762,1400,1,0,0,white,1,1,92
421,kobe,0,2003,G,12578,1600,1,0,1,brack,0,0,125
422,osaka,0,2006,G,26346,1400,1,0,0,silver,0,0,113
423,kyoto,1,2003,G,36704,1600,1,1,0,silver,0,0,117
424,kyoto,1,2001,S,13249,1400,1,1,1,blue,0,0,112
425,osaka,0,2002,T,7111,1600,1,1,1,silver,1,0,133
426,osaka,0,2008,GX,61029,1600,1,1,0,white,1,0,119
427,osaka,1,2001,G,73725,1800,1,0,1,white,0,0,128
428,kobe,1,2001,GX,2259,1800,1,1,0,silver,0,0,155
429,osaka,1,2000,G,74516,1400,1,1,0,white,2,0,101
430,osaka,1,2007,T,60833,1400,1,1,0,silver,1,0,118
431,osaka,0,2007,G,74164,1400,1,1,1,white,0,0,150
432,kobe,1,2005,GX,29990,1400,1,1,0,white,0,0,136
433,kobe,1,2008,T,70560,1600,1,0,1,white,0,0,114
434,osaka,0,2002,S,43878,1400,1,1,1,brack,4,0,112
435,osaka,1,2008,GX,42070,1600,1,1,1,brack,2,0,153
436,kyoto,0,2005,S,37886,1600,0,1,0,white,0,0,91
437,kyoto,1,2006,GX,75300,1800,1,1,1,red,1,0,144
438,osaka,1,2001,GX,26090,1600,1,0,0,silver,0,0,120
439,kobe,1,2002,G,59784,1400,0,1,1,brack,1,0,132
440,kobe,0,2000,GX,46251,1600,1,1,0,white,4,1,36
441,kobe,1,2006,GX,1817,1800,1,1,0,white,0,0,152
442,kobe,0,2004,GX,75070,1800,1,1,1,blue,0,0,131
443,kyoto,0,2008,GX,39110,1800,1,0,1,silver,0,1,140
444,osaka,0,2006,G,25335,1800,1,1,1,brack,2,0,148
445,osaka,1,2001,S,35954,1800,1,1,1,brack,0,0,135
446,osaka,0,2002,GX,23658,1600,1,0,0,brack,1,1,94
447,kobe,1,2008,T,52298,1600,1,1,0,brack,1,0,122
448,osaka,1,2000,T,32971,1400,1,1,1,brack,1,0,115
449,kobe,0,2004,S,77557,1800,1,1,0,blue,0,0,106
450,kyoto,0,2004,T,32011,1800,1,0,1,silver,0,0,131
451,osaka,0,2006,S,55212,1400,1,1,0,silver,0,0,111
452,kobe,0,2007,GX,65028,1800,1,1,0,silver,1,0,138
453,osaka,1,2002,GX,17607,1600,1,1,1,brack,1,0,136
454,osaka,1,2006,GX,62189,1400,1,1,0,brack,1,0,125
455,osaka,0,2000,T,72108,1600,1,0,0,blue,1,0,93
456,osaka,0,2001,GX,21044,1800,1,1,1,white,0,1,104
457,kyoto,1,2005,G,74818,1400,1,1,1,white,1,0,115
458,kyoto,1,2002,T,16810,1600,1,1,0,blue,0,0,99
459,kyoto,0,2006,GX,41410,1800,1,1,1,brack,0,0,135
460,kyoto,0,2007,S,29720,1400,0,1,0,blue,1,0,104
461,osaka,1,2005,S,3733,1800,1,1,0,red,0,0,143
462,osaka,0,2000,GX,9897,1800,1,0,1,silver,2,0,137
463,kyoto,1,2006,GX,9089,1400,1,1,0,white,1,0,136
464,kyoto,1,2003,GX,61242,1800,1,1,0,blue,0,0,121
465,osaka,1,2004,T,71128,1400,1,1,0,silver,0,0,100
466,kyoto,1,2001,G,29007,1600,1,1,1,brack,0,0,128
467,kyoto,1,2005,GX,495,1600,1,1,0,white,0,0,151
468,osaka,0,2006,G,47804,1400,1,1,0,white,5,1,80
469,kobe,0,2001,S,44528,1600,1,0,1,silver,1,0,112
470,kyoto,0,2004,G,55524,1600,1,0,1,white,1,0,120
471,kobe,1,2002,S,30319,1600,1,1,0,silver,0,0,117
472,osaka,1,2005,G,26766,1600,1,1,0,white,2,0,114
473,kobe,1,2002,S,58466,1800,1,1,0,brack,0,0,98
474,kobe,1,2005,T,25266,1800,1,1,0,brack,0,0,151
475,osaka,1,2006,G,51780,1400,1,1,0,silver,0,0,115
476,kyoto,1,2007,S,68865,1600,1,1,1,silver,2,0,137
477,kyoto,1,2004,G,58633,1800,1,1,0,silver,1,0,117
478,kyoto,1,2004,G,67957,1400,1,1,1,white,1,0,115
479,osaka,0,2006,S,18317,1600,1,1,0,brack,1,0,120
480,kobe,1,2008,G,73203,1400,1,1,1,brack,0,0,145
481,kyoto,1,2002,T,71748,1800,1,1,0,silver,0,0,94
482,osaka,0,2001,T,74755,1600,1,1,1,silver,0,0,120
483,osaka,0,2006,S,67235,1800,1,1,0,blue,2,0,100
484,osaka,0,2004,GX,39466,1400,1,1,0,white,0,0,127
485,kyoto,1,2005,GX,13908,1400,0,1,0,white,0,0,132
486,kyoto,1,2008,T,72642,1800,1,1,1,white,1,0,125
487,kobe,1,2006,T,76567,1600,1,1,0,white,1,0,123
488,osaka,1,2003,G,8399,1800,1,0,0,silver,1,0,128
489,osaka,1,2005,G,34226,1800,1,1,1,brack,4,0,137
490,kyoto,1,2008,S,75957,1600,1,1,1,white,1,0,119
491,osaka,0,2005,T,13022,1800,1,1,1,silver,5,0,116
492,kyoto,0,2007,GX,15290,1600,1,1,0,silver,0,0,158
493,osaka,0,2006,S,64741,1600,1,0,0,silver,1,0,125
494,kyoto,0,2004,G,12079,1400,1,1,0,silver,0,0,116
495,kyoto,0,2008,GX,7007,1600,1,1,0,silver,0,0,135
496,kobe,0,2007,GX,10860,1600,1,1,0,white,0,0,156
497,kobe,0,2007,S,2894,1800,1,0,0,white,0,0,139
498,osaka,1,2004,G,14423,1800,1,1,1,silver,1,0,156
499,osaka,0,2007,T,22881,1600,1,0,0,blue,0,0,120
500,kyoto,0,2003,G,73817,1600,1,1,0,silver,0,0,118
501,kyoto,0,2000,T,770,1400,1,1,0,brack,4,0,124
502,kyoto,1,2007,GX,49878,1600,1,1,0,brack,0,0,129
503,kyoto,1,2008,T,21199,1400,1,1,1,white,0,0,144
504,osaka,0,2006,S,44650,1800,1,1,1,silver,0,0,157
505,kobe,1,2003,S,19848,1400,1,1,0,brack,0,0,110
506,kobe,0,2008,GX,65988,1800,1,1,0,white,0,0,148
507,kyoto,0,2008,GX,23390,1600,1,1,1,silver,4,0,126
508,osaka,0,2002,S,29931,1800,1,0,0,brack,1,0,127
509,osaka,1,2002,S,19966,1800,1,1,0,white,1,0,113
510,osaka,0,2002,S,49635,1600,1,1,1,brack,0,0,116
511,kobe,1,2002,G,32173,1600,1,1,0,red,0,0,138
512,kyoto,0,2005,GX,57708,1400,1,1,0,brack,0,0,132
513,osaka,0,2005,GX,31173,1800,1,1,0,silver,1,0,141
514,kyoto,1,2007,G,69840,1600,1,1,0,white,0,0,132
515,kobe,0,2005,S,18638,1800,1,1,0,white,1,0,125
516,osaka,1,2007,G,40401,1600,1,1,0,silver,1,0,121
517,osaka,0,2002,GX,55590,1800,1,0,0,brack,0,0,129
518,kyoto,1,2004,T,21395,1400,1,0,0,brack,1,0,114
519,osaka,0,2008,GX,6518,1600,1,0,0,white,0,0,142
520,kobe,1,2000,GX,28093,1600,1,1,1,white,3,0,126
521,kobe,1,2005,S,28502,1400,1,0,1,white,0,0,116
522,kobe,0,2003,S,3656,1400,1,1,1,silver,0,0,141
523,kyoto,0,2004,GX,63146,1600,1,1,0,brack,0,0,122
524,kobe,1,2004,T,61384,1400,1,1,0,white,3,0,73
525,osaka,1,2006,S,66553,1600,1,0,1,blue,0,0,126
526,kyoto,0,2002,G,38178,1600,1,1,0,blue,0,0,106
527,kobe,0,2002,G,12936,1400,1,0,0,silver,0,0,121
528,kyoto,0,2000,S,57720,1800,1,1,0,brack,0,1,94
529,kobe,1,2006,G,20185,1600,1,0,0,blue,0,0,115
530,kobe,0,2004,G,46803,1600,1,1,0,brack,1,0,123
531,osaka,1,2001,T,21617,1600,1,1,0,silver,0,0,113
532,kobe,0,2000,GX,71745,1800,0,0,0,white,1,0,98
533,kobe,0,2004,T,43370,1600,1,0,0,silver,0,0,126
534,kobe,1,2008,S,47911,1800,1,1,0,red,1,0,135
535,osaka,0,2007,S,7741,1400,1,0,0,white,0,0,115
536,kyoto,0,2006,G,36034,1800,1,1,1,white,1,0,164
537,kyoto,0,2005,GX,30514,1800,1,1,1,white,1,0,131
538,kyoto,1,2008,GX,36320,1400,1,0,0,silver,2,0,117
539,osaka,0,2002,S,57013,1400,1,1,0,white,1,1,74
540,osaka,1,2007,GX,7400,1600,1,0,0,brack,5,0,122
541,osaka,1,2002,G,18930,1400,1,1,0,brack,3,0,107
542,kyoto,1,2007,G,13637,1400,1,1,0,silver,0,0,128
543,kyoto,0,2006,G,69034,1600,1,1,0,brack,1,0,125
544,kobe,0,2005,T,38970,1600,1,1,0,brack,0,0,129
545,kobe,0,2001,G,7836,1600,1,1,0,white,0,0,110
546,kyoto,1,2001,S,39078,1800,1,1,0,silver,4,0,74
547,kyoto,0,2008,S,11772,1400,1,1,0,brack,2,0,111
548,kobe,1,2006,T,15928,1800,1,1,1,silver,2,0,149
549,osaka,0,2005,G,6551,1400,1,1,0,brack,1,0,141
550,kyoto,0,2008,T,69818,1800,1,1,0,brack,1,0,149
551,osaka,1,2007,S,13067,1800,1,1,0,blue,3,0,128
552,osaka,0,2006,T,31344,1400,1,0,0,silver,1,0,96
553,osaka,0,2003,T,41827,1800,1,0,1,brack,0,0,116
554,kyoto,0,2000,G,79898,1400,1,1,1,brack,1,0,125
555,kyoto,0,2005,G,46248,1400,1,1,0,red,1,0,147
556,osaka,1,2005,S,36197,1600,1,0,0,white,1,0,118
557,kyoto,0,2007,S,28813,1600,1,1,0,silver,5,0,100
558,kobe,0,2003,GX,15722,1800,1,0,1,brack,0,0,137
559,osaka,1,2003,S,33893,1600,1,0,1,blue,3,0,101
560,kobe,0,2007,S,64648,1800,1,1,0,brack,0,0,118
561,osaka,1,2008,G,55026,1400,1,1,1,white,1,0,134
562,osaka,0,2005,G,33453,1600,1,0,0,silver,0,0,107
563,kobe,0,2002,G,19976,1800,1,1,1,brack,1,0,139
564,osaka,0,2000,GX,45842,1600,1,1,0,red,2,0,98
565,osaka,1,2007,GX,46157,1400,1,0,0,white,0,0,133
566,osaka,1,2004,G,6078,1800,1,1,0,silver,0,0,144
567,osaka,1,2006,GX,73312,1800,1,1,1,white,1,0,122
568,osaka,0,2000,GX,46431,1400,1,0,0,blue,0,0,80
569,osaka,0,2000,G,47886,1400,1,0,0,brack,1,0,96
570,kyoto,1,2002,GX,21598,1800,1,0,0,silver,1,0,119
571,osaka,1,2000,G,67258,1400,1,1,1,silver,2,0,107
572,kyoto,0,2000,S,53096,1400,1,0,0,silver,1,0,96
573,kobe,0,2007,G,32924,1800,1,0,1,brack,2,0,126
574,kyoto,0,2007,G,65541,1400,1,1,0,white,3,0,111
575,kyoto,0,2002,G,33671,1400,1,1,0,silver,0,0,111
576,kobe,1,2007,G,25030,1600,1,1,0,brack,2,0,129
577,kobe,1,2007,S,54518,1400,1,1,0,white,0,0,86
578,kyoto,0,2006,T,23749,1600,1,1,0,white,0,0,128
579,kyoto,1,2005,G,22632,1800,1,1,0,red,0,0,140
580,osaka,1,2007,GX,35562,1600,1,1,0,red,0,0,145
581,kyoto,0,2003,GX,39472,1400,1,0,0,white,0,0,102
582,osaka,0,2002,G,45800,1600,1,0,1,brack,0,0,131
583,osaka,1,2004,S,64035,1400,1,1,0,silver,0,0,119
584,osaka,1,2002,G,73193,1800,1,1,0,white,0,1,112
585,osaka,0,2005,G,21501,1400,1,0,0,silver,0,0,131
586,kobe,1,2004,GX,41675,1400,1,1,1,brack,1,0,126
587,kyoto,0,2000,T,70520,1800,1,1,1,brack,1,0,109
588,kobe,1,2008,G,19642,1600,1,0,0,blue,0,0,120
589,osaka,1,2006,G,70649,1600,1,1,0,blue,1,0,114
590,kobe,1,2002,T,58416,1800,1,1,0,silver,4,0,106
591,kyoto,1,2001,G,77742,1800,0,1,1,silver,3,0,105
592,kyoto,1,2002,GX,19526,1400,1,0,0,white,0,0,119
593,kyoto,1,2000,G,43687,1400,1,1,0,brack,0,0,99
594,osaka,0,2003,GX,33768,1400,1,1,0,silver,1,0,115
595,kobe,0,2006,GX,43794,1600,1,1,0,silver,1,0,130
596,osaka,0,2006,T,79849,1600,1,0,0,silver,1,0,124
597,kobe,0,2002,S,27742,1600,1,0,1,silver,3,0,116
598,osaka,1,2008,G,67077,1800,1,1,1,brack,1,0,141
599,osaka,1,2004,G,64070,1800,0,1,0,silver,1,0,113
600,kyoto,1,2002,G,36289,1400,1,1,1,brack,0,0,139
601,kobe,1,2000,GX,1242,1800,1,1,1,silver,0,0,145
602,kobe,0,2000,GX,41311,1400,1,1,1,brack,1,0,114
603,kyoto,1,2001,G,19730,1600,1,1,0,red,1,0,117
604,kobe,0,2008,GX,43649,1600,1,1,1,silver,5,0,131
605,osaka,1,2001,GX,32718,1800,1,1,0,silver,4,0,94
606,kyoto,0,2008,GX,11111,1800,1,1,1,silver,0,0,168
607,kyoto,0,2007,GX,42981,1800,1,1,0,silver,0,0,133
608,osaka,1,2008,T,63706,1400,1,0,0,white,4,0,94
609,osaka,1,2004,T,4573,1800,1,1,1,silver,0,0,160
610,kyoto,0,2001,G,37318,1600,1,1,0,brack,0,0,120
611,kobe,1,2005,GX,44680,1600,1,0,1,brack,0,0,132
612,osaka,1,2004,G,13125,1600,1,1,1,silver,1,0,152
613,kyoto,1,2003,T,52068,1600,1,1,0,brack,2,0,118
614,kyoto,0,2000,T,23307,1400,1,1,0,white,1,0,107
615,kobe,1,2005,G,62318,1400,1,1,0,white,0,0,121
616,kyoto,0,2002,G,61913,1400,1,1,0,silver,1,0,95
617,kyoto,0,2002,G,6097,1800,1,0,0,blue,1,0,106
618,kyoto,1,2000,GX,27414,1600,1,0,0,white,0,0,97
619,kobe,1,2002,G,10663,1800,1,1,0,silver,2,0,114
620,osaka,0,2000,T,41890,1600,1,0,0,silver,0,0,106
621,kyoto,0,2007,G,52792,1400,1,0,0,silver,1,0,109
622,osaka,1,2008,G,37317,1600,1,1,0,white,0,0,137
623,osaka,0,2000,S,37117,1400,1,1,1,brack,0,0,118
624,kyoto,1,2008,G,29307,1600,1,0,0,white,1,0,130
625,kobe,0,2007,T,42112,1800,1,0,1,white,0,0,145
626,osaka,0,2006,G,7368,1600,1,1,1,white,0,0,145
627,osaka,0,2007,S,64271,1400,1,1,0,brack,0,1,103
628,kyoto,1,2005,G,26498,1800,1,1,0,silver,0,0,109
629,kyoto,1,2008,GX,25268,1400,1,1,0,brack,4,0,119
630,osaka,0,2003,S,22917,1800,1,1,0,red,0,0,132
631,kyoto,0,2007,T,44885,1800,1,1,0,silver,1,0,123
632,kobe,0,2004,S,16846,1800,1,1,0,white,1,0,93
633,osaka,1,2005,T,32386,1400,0,1,0,white,0,0,124
634,kyoto,0,2002,T,50737,1800,1,1,0,silver,0,0,129
635,osaka,0,2005,GX,37922,1400,1,0,0,brack,0,1,112
636,kobe,1,2002,T,43555,1400,1,1,0,white,0,0,115
637,osaka,1,2000,S,44449,1400,1,1,0,silver,0,0,86
638,kyoto,1,2001,GX,15168,1400,1,1,0,blue,1,0,100
639,osaka,0,2000,G,50095,1400,1,1,0,white,1,0,103
640,osaka,1,2001,T,11070,1400,1,1,0,brack,0,0,116
641,kyoto,0,2002,T,79032,1600,1,1,0,blue,1,0,101
642,kyoto,1,2002,S,17402,1800,1,1,0,white,2,0,102
643,kyoto,1,2002,T,22362,1400,1,1,0,white,3,0,90
644,kobe,0,2007,GX,60842,1600,1,1,0,silver,0,0,138
645,kyoto,0,2006,S,32632,1400,1,1,0,brack,3,0,112
646,kobe,1,2002,S,41702,1800,1,0,0,red,0,0,112
647,kyoto,1,2004,S,76583,1600,1,1,0,white,1,0,98
648,osaka,1,2008,S,71944,1600,1,1,0,blue,0,0,115
649,kobe,1,2007,S,66228,1800,1,1,0,brack,0,0,125
650,kyoto,1,2003,G,46127,1800,1,1,0,white,0,0,128
651,kyoto,0,2005,S,74127,1600,1,0,0,brack,1,0,114
652,kyoto,0,2003,S,49724,1400,0,1,1,brack,1,0,132
653,osaka,1,2004,GX,67212,1800,1,1,0,brack,2,0,121
654,osaka,0,2002,GX,502,1400,1,0,1,silver,2,0,147
655,osaka,0,2002,S,57490,1400,1,0,0,brack,1,0,97
656,kobe,1,2003,T,1992,1400,1,1,1,red,1,0,150
657,osaka,1,2001,G,4171,1800,1,1,0,white,1,0,132
658,kyoto,1,2008,G,40858,1600,1,1,0,silver,0,0,139
659,osaka,1,2004,GX,60870,1600,1,1,0,red,0,0,128
660,osaka,0,2000,G,49154,1800,1,0,0,silver,2,0,103
661,kobe,0,2006,S,73980,1400,1,1,0,white,0,0,96
662,kyoto,1,2007,T,3295,1800,1,1,0,white,1,0,141
663,osaka,1,2001,G,45699,1400,1,1,1,brack,0,0,126
664,osaka,1,2007,T,15009,1400,1,1,0,brack,0,0,122
665,osaka,1,2002,G,51955,1400,1,0,0,silver,1,0,101
666,osaka,0,2006,G,42500,1800,1,1,0,silver,1,0,145
667,osaka,0,2000,GX,24038,1800,1,0,0,brack,1,0,116
668,kyoto,1,2007,S,8484,1400,1,1,0,silver,5,0,101
669,kyoto,1,2004,S,16417,1600,1,1,0,red,0,0,124
670,osaka,1,2008,S,76383,1400,1,1,1,blue,2,0,124
671,kobe,0,2002,G,46966,1800,1,1,0,brack,0,0,140
672,kobe,1,2002,GX,41113,1800,1,1,0,blue,0,0,113
673,kyoto,0,2006,G,78936,1800,0,0,0,silver,0,0,133
674,osaka,0,2001,S,34407,1600,1,1,1,silver,0,0,110
675,kyoto,1,2005,T,5570,1600,0,1,0,white,0,0,121
676,kyoto,1,2007,S,9425,1800,1,0,0,silver,1,0,133
677,kyoto,1,2006,GX,42556,1400,1,0,1,brack,2,0,117
678,kobe,0,2008,GX,44155,1800,1,1,0,brack,0,0,160
679,osaka,0,2002,G,60873,1400,1,0,0,brack,0,0,114
680,kyoto,0,2002,T,24660,1600,0,0,1,brack,0,0,121
681,kyoto,1,2004,G,36335,1800,1,0,0,silver,2,1,89
682,kobe,0,2007,G,42484,1600,1,0,1,silver,0,0,138
683,osaka,0,2005,GX,18968,1400,1,1,0,white,0,0,115
684,osaka,0,2002,G,75184,1600,1,1,0,brack,0,0,99
685,kobe,0,2008,GX,4478,1800,1,1,0,brack,3,1,118
686,kobe,1,2005,T,23140,1400,1,1,0,silver,0,0,113
687,osaka,0,2005,GX,28288,1400,1,1,0,brack,0,0,121
688,osaka,1,2005,GX,64831,1600,1,1,1,silver,1,0,142
689,kyoto,1,2004,GX,58532,1600,1,1,0,brack,1,0,105
690,osaka,0,2002,T,28215,1600,1,1,1,brack,3,0,97
691,osaka,1,2003,GX,12423,1600,1,1,1,brack,1,0,157
692,kyoto,0,2006,G,73412,1400,1,1,1,silver,0,0,132
693,osaka,0,2003,S,21838,1800,1,0,0,white,1,0,123
694,osaka,0,2002,GX,13594,1600,1,1,1,blue,0,0,132
695,kyoto,1,2000,S,42945,1800,1,1,1,white,0,0,105
696,kobe,0,2000,GX,35573,1800,1,0,0,red,5,0,107
697,osaka,0,2007,T,74219,1600,1,1,0,brack,3,0,114
698,kobe,1,2008,S,77524,1400,1,0,0,red,0,0,133
699,kyoto,1,2005,T,75148,1800,1,1,0,silver,0,0,131
700,kyoto,1,2002,GX,22388,1600,1,0,0,red,0,0,111
701,kobe,0,2007,GX,21104,1800,1,1,0,white,1,0,137
702,osaka,0,2008,G,51282,1600,1,1,0,white,2,0,119
703,kobe,0,2005,GX,53285,1800,1,1,0,white,2,0,120
704,kobe,1,2005,T,72992,1400,1,1,1,silver,0,0,139
705,kyoto,0,2008,G,5884,1800,1,1,0,brack,1,1,120
706,osaka,1,2001,G,78399,1400,1,1,0,blue,0,0,99
707,kobe,0,2006,S,64876,1600,1,1,0,brack,0,0,125
708,kyoto,1,2000,S,46446,1600,1,1,0,brack,1,0,107
709,osaka,1,2000,GX,54479,1600,0,0,0,brack,0,0,99
710,osaka,0,2002,S,32640,1800,1,1,0,brack,2,0,89
711,kobe,1,2001,S,58723,1800,1,1,1,brack,0,0,127
712,kyoto,1,2005,T,43258,1400,1,1,0,silver,0,0,124
713,osaka,0,2008,T,45284,1400,1,1,0,silver,0,0,126
714,osaka,0,2008,T,22256,1600,1,0,0,white,2,0,121
715,kyoto,0,2002,G,32974,1400,1,1,1,silver,1,0,123
716,kyoto,1,2002,G,4707,1800,1,1,0,silver,0,0,119
717,kobe,1,2004,GX,56898,1600,1,1,1,brack,2,0,135
718,osaka,0,2003,G,19844,1800,0,1,1,red,0,0,136
719,kyoto,1,2008,G,70804,1600,0,0,0,white,4,0,92
720,kobe,1,2000,T,28851,1600,1,1,0,brack,0,0,123
721,osaka,0,2004,GX,3844,1600,1,1,0,white,2,0,124
722,osaka,0,2001,T,43405,1800,1,1,0,silver,2,0,125
723,osaka,0,2003,G,67750,1400,1,1,0,blue,1,0,105
724,kobe,1,2007,G,10320,1400,1,1,0,silver,0,0,140
725,kyoto,1,2000,S,57918,1800,1,1,0,white,1,0,104
726,kobe,1,2006,T,43968,1400,1,1,0,brack,0,0,116
727,osaka,0,2005,S,76727,1600,1,0,0,brack,1,0,115
728,kyoto,0,2004,S,56148,1600,1,1,1,blue,0,0,108
729,kobe,0,2006,T,18847,1600,1,1,0,silver,3,0,118
730,kyoto,0,2002,T,50997,1800,1,1,0,brack,3,0,115
731,osaka,1,2008,S,66476,1600,1,1,0,brack,0,1,116
732,kyoto,0,2006,S,10265,1600,1,1,0,brack,2,1,98
733,osaka,0,2008,GX,47699,1400,1,1,0,blue,0,0,115
734,osaka,1,2000,T,14606,1400,1,1,0,white,0,0,108
735,osaka,0,2007,S,30325,1800,1,1,0,white,0,0,129
736,osaka,0,2001,T,42949,1600,1,1,0,white,2,0,110
737,kyoto,0,2003,G,63840,1400,1,1,1,red,0,0,139
738,kyoto,1,2001,G,27222,1600,1,1,0,white,0,0,118
739,kobe,0,2001,T,79472,1600,1,0,1,silver,1,0,96
740,osaka,1,2003,G,78769,1600,1,1,1,silver,5,0,85
741,kobe,1,2004,GX,36528,1600,1,1,0,white,1,0,105
742,kobe,0,2008,T,35930,1600,1,1,0,silver,0,0,149
743,kobe,1,2006,GX,34119,1600,1,0,0,silver,5,0,114
744,osaka,0,2000,S,1476,1800,1,0,0,white,2,0,119
745,osaka,1,2003,S,55622,1400,0,1,1,white,2,0,93
746,kobe,1,2008,T,71364,1800,1,1,1,white,2,0,128
747,kobe,1,2008,S,32351,1800,1,1,1,white,1,0,126
748,kobe,0,2007,T,20672,1400,1,1,0,silver,1,0,123
749,osaka,0,2002,G,49881,1400,1,1,0,brack,1,1,94
750,osaka,1,2001,T,11786,1800,1,0,0,white,2,0,112
751,osaka,0,2002,GX,25198,1400,1,1,0,silver,0,0,119
752,kobe,0,2004,GX,68124,1600,1,1,1,white,0,0,131
753,kyoto,0,2000,T,32361,1800,1,1,0,white,0,0,122
754,osaka,0,2004,GX,4337,1800,1,0,0,silver,0,0,144
755,kobe,1,2000,GX,41486,1400,1,1,1,white,1,0,113
756,osaka,1,2008,G,55804,1800,1,1,0,blue,1,0,140
757,osaka,0,2002,T,76000,1800,1,0,0,red,0,0,133
758,kyoto,1,2003,T,31684,1800,1,1,1,silver,0,0,128
759,osaka,0,2004,GX,394,1600,1,1,0,silver,0,0,174
760,kyoto,1,2004,S,53200,1800,1,1,0,brack,0,0,122
761,kyoto,0,2004,GX,11861,1800,1,0,1,silver,0,0,136
762,kobe,1,2000,GX,42835,1400,1,1,0,silver,1,0,108
763,kobe,1,2001,T,10974,1800,1,1,1,blue,0,0,98
764,kobe,0,2007,G,11277,1800,1,1,0,blue,1,0,129
765,kyoto,0,2002,S,12858,1600,1,1,0,blue,0,0,109
766,kyoto,0,2004,GX,44080,1400,1,1,0,silver,0,0,121
767,kobe,0,2001,S,78599,1600,1,0,0,silver,0,0,89
768,kobe,1,2002,T,60957,1600,1,0,0,white,0,0,118
769,kyoto,0,2002,GX,43301,1600,1,1,1,white,2,0,127
770,kobe,1,2006,GX,11448,1400,1,1,0,brack,0,0,148
771,kyoto,0,2004,GX,65346,1400,0,1,0,silver,0,0,122
772,kyoto,1,2004,G,28827,1800,1,1,1,brack,0,0,130
773,kobe,0,2004,S,69572,1800,0,1,1,silver,2,0,116
774,osaka,1,2006,GX,39876,1800,1,1,0,blue,0,0,144
775,kyoto,0,2003,G,55421,1800,1,1,0,silver,2,0,116
776,osaka,0,2003,T,12914,1600,1,1,0,blue,1,0,109
777,kyoto,1,2004,T,60742,1600,1,1,0,white,0,0,127
778,kobe,0,2002,G,76199,1600,1,1,0,white,0,0,102
779,osaka,1,2003,S,62308,1600,1,0,0,white,0,0,97
780,osaka,0,2002,T,21303,1800,1,1,0,silver,1,0,112
781,kobe,1,2007,G,17158,1800,1,1,1,silver,1,0,161
782,kyoto,1,2001,T,71366,1800,1,1,0,white,1,0,89
783,osaka,0,2002,S,49884,1400,1,1,0,brack,2,0,104
784,kyoto,1,2008,G,68551,1800,1,1,0,white,1,0,131
785,osaka,1,2000,GX,6862,1800,1,0,0,silver,0,0,122
786,kyoto,1,2007,G,64002,1600,1,1,1,silver,0,0,124
787,kyoto,0,2003,S,4794,1800,1,1,0,white,0,0,138
788,kyoto,0,2003,G,6589,1600,1,1,0,white,0,0,125
789,kyoto,1,2000,T,5477,1400,1,0,0,silver,0,0,116
790,kyoto,1,2003,GX,58491,1600,1,1,1,silver,1,0,120
791,kyoto,1,2000,GX,55008,1400,1,0,0,blue,1,0,72
792,kobe,0,2003,S,59728,1400,1,1,0,white,0,0,107
793,kobe,0,2007,GX,77790,1800,1,1,0,blue,0,0,123
794,osaka,1,2005,T,12381,1800,1,1,0,white,0,0,119
795,osaka,0,2006,S,4772,1600,1,1,1,blue,0,0,152
796,kyoto,1,2005,G,6922,1800,1,1,1,silver,5,1,107
797,osaka,0,2001,G,5410,1800,1,1,0,blue,1,0,104
798,kyoto,0,2004,T,67942,1800,1,0,0,silver,0,0,112
799,kyoto,0,2003,T,55689,1400,1,1,1,white,1,0,131
800,osaka,1,2004,T,58167,1400,1,1,0,white,2,0,122
801,osaka,0,2001,GX,39171,1800,1,1,0,white,0,0,114
802,kobe,1,2004,GX,23512,1800,1,0,0,brack,1,0,122
803,osaka,0,2003,T,61439,1400,1,1,1,silver,1,0,117
804,kobe,0,2004,S,56916,1800,1,1,0,white,3,0,109
805,kobe,1,2008,S,16352,1800,1,1,0,white,1,0,122
806,kyoto,0,2005,G,44780,1800,1,1,0,silver,0,0,126
807,kyoto,1,2001,S,78211,1600,0,1,0,silver,1,0,87
808,kyoto,0,2004,G,1323,1600,1,0,1,brack,0,0,135
809,kyoto,1,2002,T,52680,1800,1,1,0,silver,1,0,123
810,osaka,1,2005,S,32061,1400,1,1,1,brack,0,0,119
811,kobe,1,2006,G,4131,1800,1,1,0,white,1,0,144
812,osaka,0,2004,S,56484,1800,1,1,0,brack,2,0,95
813,kyoto,1,2004,T,62800,1600,1,1,0,silver,5,0,112
